tickers,MGM,GM,FBHS,TRIP,PVH,FL,IP,WHR,F,MAT,TJX,MCD,VFC,GPC,HRB,LEN,HAS,PHM,BLL,NKE,JWN,GPS,LEG,LOW,HD,HOG,TIF,AZO,M,MHK,KSS,DHI,SBUX,ORLY,BWA,TSCO,DRI,AMZN,RL,YUM,MAR,BBY,SEE,EBAY,PKG,AAP,KMX,WYNN,LKQ,EXPE,UA,CMG,HBI,ROST,ULTA
MGM,1.0,0.5516745374160461,-0.540673893353816,-0.3413109718189636,-0.21416001247949507,-0.5695069979021296,0.02040890334313171,-0.22089499398953755,0.8293428265861578,-0.39718465750613774,-0.13494427137918638,0.8311402746973032,-0.26936491741545565,0.33519933916531663,-0.08422305798569293,0.0,-0.14064380179099678,-0.5588756168701737,-0.2710718329875583,0.5515887756062025,-0.11009157497200148,-0.6343557136022897,-0.2672229615005118,0.011214536438896597,-0.5671450917631282,0.4524802559756994,0.6765788244633228,-0.030269914798979516,0.07567280578190116,-0.5387421243438312,-0.030573500824937205,-0.6679108587031717,0.3341201374722548,0.0796149393382212,0.8711094289178203,-0.1439559768633379,-0.3078399451883843,-0.7115346439337852,0.7133436474398492,0.06120417743403943,-0.02870338158498826,0.7397281820100464,0.8872304244725742,-0.661427657563953,-0.3735176374945313,0.7364737144302524,0.24718701411290295,0.7593767969027085,0.0,-0.781408866052602,0.6333814368023872,0.6496007343186545,-0.4804735288076905,-0.553870764386787,-0.2714765811645633
GM,0.5516745374160461,0.9999999999999999,0.21498905332125612,-0.42341677717445414,0.5400399428173084,-0.07832662510172589,0.6317467563851922,0.545614461030292,0.8214555380006413,0.20084840377639634,-0.13945743543131633,0.37036141961893676,0.28489800534605036,0.26303002440018963,0.5800991229518871,0.0,0.31486594726365474,0.2321974034592111,0.2453765673509763,0.05798253706423244,0.16483917503989165,-0.08349543507363977,0.534907623212704,0.596796525602534,0.16860810605783672,0.2918157750297903,0.5902369899819342,-0.11357031679380289,0.40078661563288787,0.2739694568466433,0.07032425157531562,-0.05930560415761994,0.0474853300574104,-0.1404561974592693,0.44821210650346516,0.00730483610492896,-0.1733716902725787,-0.16248173876936547,0.5619060157976214,0.2589839175218157,-0.16885106508619263,0.03704746020321932,0.6554403247552661,0.0008741695646489814,0.4105984856840366,0.4048429332157395,0.7971986911656371,0.6523339338102431,0.0,-0.11036930365437592,-0.019910572594135117,-0.09055388556279594,0.21465315343278146,-0.7095760757255758,0.05045776204928314
FBHS,-0.540673893353816,0.21498905332125612,1.0,0.19297910045561326,0.8507185393195691,0.8180295241644842,0.6668350456567838,0.8568292503858395,-0.2994325062380937,0.871787467820236,-0.24031339216051723,-0.6852460934260873,0.75718953253346,-0.09175648227399322,0.6008349542857654,0.0,0.6794968229396816,0.9623690037041068,0.8083927604462242,-0.46077879795350496,0.5134373435345392,0.8625733760900118,0.7793098830137957,0.7238983506656487,0.966052208893743,0.053175226756312526,-0.14280053522330494,0.18487402841471673,0.5276435854443557,0.9572429221004957,0.17954465937061115,0.8941153674693385,-0.01798433868736808,0.0011173687094004296,-0.4568217991623305,0.4836383069640356,0.3954245869734807,0.866352785831411,-0.0901983175342575,0.41618869866233255,0.3111921030563882,-0.8639869089582748,-0.4555609126425207,0.9411946422284967,0.9022454114853417,-0.3337769002849453,0.4447625675549566,-0.08820595241227897,0.0,0.8846323473063433,-0.6447725525712824,-0.7089530394821717,0.9137230889289305,0.22943681667656998,0.7157714659190706
TRIP,-0.3413109718189636,-0.42341677717445414,0.19297910045561326,1.0,-0.01433329775681486,0.17624007228499977,-0.3417824431938904,-0.06291778351869415,-0.38912083431560207,0.05854319814693498,-0.27051125996359054,-0.5091505576795813,-0.19323138441176835,-0.1966931788926245,-0.2189468025327202,0.0,-0.20785391299333197,0.04994207256652303,0.26038394346537236,-0.12771354090327525,-0.3209082705266908,0.11642843808579348,-0.27265551607037974,0.036201734368820786,0.15847939097267918,0.39540109612802665,-0.6477070356977601,0.3753656281903679,-0.18732387513393453,0.16185599677969587,-0.48210704656152964,0.18008771765726336,0.4835500691628327,0.5945487159603918,-0.33323794618944647,0.04183924474853082,-0.026075574069026632,0.34360905047736023,-0.42190525759292596,0.08588376505311618,0.3749606392526217,-0.3883997929027713,-0.35950306844699353,0.26533061876365,-0.06693378580727118,-0.1920976427991246,-0.3243699451925359,-0.4370285563112207,0.0,0.33380584183520634,0.11095630747908816,0.19587839916354888,0.13984916749180343,0.3988298301238429,0.41145498687538207
PVH,-0.21416001247949507,0.5400399428173084,0.8507185393195691,-0.01433329775681486,1.0,0.6099088409546678,0.7918332285362155,0.9422792141825085,0.12581999108964478,0.7971476474940602,-0.2559497276431814,-0.44154001296900913,0.7320611265429265,0.08921451834633526,0.7709673355220301,0.0,0.6525309837228773,0.8287481428410537,0.8261143954908815,-0.3055521955930499,0.5365475691498934,0.6424223680548136,0.8955184967520207,0.8881809759437563,0.8598181553071929,0.22959312874015397,0.14483197466001946,0.15928437563721168,0.6549823138495174,0.8378471207129176,0.1621924105192485,0.609905422969931,0.10535149939570883,0.03193349664677124,-0.20050237663207093,0.3414671215322651,0.16106346392028004,0.564313784106284,0.20966150223884522,0.5125125306502558,0.0622696175810023,-0.6980901539459388,-0.0788080944180585,0.7430822432612004,0.8839012890963452,0.030727300469413958,0.7544959007425632,0.2202812477659838,0.0,0.6400687497017821,-0.5253694184542206,-0.6162890199510005,0.8561123169309189,-0.14918342024282594,0.5721721976632015
FL,-0.5695069979021296,-0.07832662510172589,0.8180295241644842,0.17624007228499977,0.6099088409546678,1.0,0.5572893291641772,0.6610518028386703,-0.5448643222111283,0.8647620315959107,-0.3282903857472992,-0.6422901648043697,0.8199111358532196,-0.11001779635916895,0.3863553842008552,0.0,0.7424402224299763,0.8012919104506874,0.7474710647663563,-0.3202458395126549,0.6924933298013425,0.9447194783569612,0.5592479180986965,0.419852996516075,0.8397215742984657,-0.08113752149982476,-0.1444523943440633,0.3285129517922074,0.5593708553871336,0.7163090413715434,0.39926531761539946,0.8698654802671981,-0.023503582617853666,-0.03726318322428377,-0.3470418042570255,0.6241718491872659,0.6825449682605476,0.8419834299382455,0.0008669651495883893,0.3765235425161222,0.506985869399006,-0.685084590163348,-0.6089347960269273,0.8860209028419221,0.7380469341814608,-0.33412038775390307,0.1710666433914978,-0.1886057594245965,0.0,0.8126692496393707,-0.5904247076429103,-0.5682645994497335,0.8635156741791846,0.6092754186812616,0.7979702872979142
IP,0.02040890334313171,0.6317467563851922,0.6668350456567838,-0.3417824431938904,0.7918332285362155,0.5572893291641772,1.0,0.8480557034132332,0.22794247442553742,0.7656280922541616,-0.18320897944133974,-0.0835217426443541,0.7625867973021088,0.23059436625058247,0.7518587838571497,0.0,0.6915968073608781,0.7175089189733926,0.6419453421584922,-0.2742789625127857,0.6695355684643215,0.56010785206332,0.8397018380773157,0.7216254067002816,0.6602931980390001,0.012796809865093513,0.3955421127633426,0.006530500434778553,0.6485115086672577,0.6572608790260003,0.3069167428291417,0.5137475362364279,-0.09515205006275124,-0.23293895178089197,0.08031368388170462,0.3272168581381059,0.20078589631413288,0.4269759788596842,0.4211653782205313,0.34464035912270047,0.0750287453911546,-0.41297209760102715,0.06446809519657767,0.5757997528488445,0.8550399234100546,0.08666892038327612,0.7682457639987864,0.39485858461807555,0.0,0.42382887978588546,-0.5503785929386258,-0.5673553792223492,0.7392999091907141,-0.1572909143096795,0.435525246534215
WHR,-0.22089499398953755,0.545614461030292,0.8568292503858395,-0.06291778351869415,0.9422792141825085,0.6610518028386703,0.8480557034132332,1.0,0.08215333356413483,0.8704531124392377,-0.3549160695491539,-0.4370649017538753,0.7631230658135941,0.031050019481879028,0.8197444160271883,0.0,0.6899965702479358,0.8699793659600669,0.8073780498584482,-0.3723526872891767,0.5533442871575666,0.6854164815986181,0.8933802278650005,0.8137906332418195,0.8574338757767654,0.12833933959256377,0.1285136767998562,0.12072864947941729,0.5977416560839048,0.8535422340814963,0.21783394212634186,0.6651379234131813,-0.052360361191585506,-0.11316803366013933,-0.20626628822872287,0.3080033466983238,0.25244543908767647,0.5689004605599708,0.2164642441744272,0.4491357804492885,0.0571043220373703,-0.6821156260124914,-0.10143083377801676,0.7633798192830393,0.939426020003115,-0.04967942733435814,0.7009147674745035,0.1551461062014106,0.0,0.6723011579882927,-0.6130934624990987,-0.6784996694065325,0.8960618193665889,-0.11711953848918923,0.5720697431308486
F,0.8293428265861578,0.8214555380006413,-0.2994325062380937,-0.38912083431560207,0.12581999108964478,-0.5448643222111283,0.22794247442553742,0.08215333356413483,0.9999999999999999,-0.27447468352423765,0.01673478268546873,0.6746428269136882,-0.18579681899019135,0.33659032048496723,0.25250516967313247,0.0,-0.11179308782441794,-0.2963846307973754,-0.1302872714281461,0.30071080134141903,-0.16863539560910237,-0.5802371731331945,0.11030217675718322,0.28936051830347886,-0.33205472225690436,0.38984877835821574,0.6207805869425354,-0.17875562288511743,0.10601283699391885,-0.22631594962117352,-0.1559434133584185,-0.5578589669837226,0.21174391572728754,-0.005251738982010897,0.657936518307696,-0.2935497882869907,-0.4929883598443762,-0.607306551235414,0.5596884345608706,0.07941805785150041,-0.3226263144062229,0.44004639335159745,0.8985040370902916,-0.4892489137130137,-0.09768351503707973,0.6203809411467487,0.5985869872672166,0.7084301829119111,0.0,-0.574263251818603,0.3720864704038897,0.3345432069702858,-0.272307420043591,-0.8469932703610861,-0.2987269553559786
MAT,-0.39718465750613774,0.20084840377639634,0.871787467820236,0.05854319814693498,0.7971476474940602,0.8647620315959107,0.7656280922541616,0.8704531124392377,-0.27447468352423765,0.9999999999999998,-0.41143061548981563,-0.5767764150756929,0.8516851708836727,0.06369915243651848,0.6026789016259337,0.0,0.8000418632625468,0.875772385137095,0.8531546711668305,-0.3731466103368701,0.699324980829533,0.878732242658435,0.7392512980799565,0.636706424169357,0.8838633630445163,0.04738921847140451,-0.004702539649783279,0.24336671884705688,0.6201366552552865,0.8161343740293572,0.3271169937120906,0.802840730192595,-0.06684840327542345,-0.057008274412610596,-0.28740500200036,0.4973764605544905,0.4804030787699899,0.7609009569561356,0.15723645279902215,0.43632463850610426,0.3186345112845334,-0.7076643873832427,-0.38710420355396424,0.8862865902435149,0.8947264245016626,-0.17641067539708677,0.43265965745310064,-0.012904176888592484,0.0,0.7920229096373594,-0.6311920249516749,-0.6824189057029963,0.9429191514013022,0.3003591072774085,0.706797906208636
