tickers,XOM,KMI,MPC,PSX,COP,CVX,MRO,HAL,EQT,OKE,HES,HP,OXY,WMB,APA,RRC,PXD,EOG,COG,NOV,VLO,DVN,FTI,XEC,CXO
XOM,1.0,0.33659269238454564,0.7150188604502814,0.0,-0.03163722137166803,0.8751503428142913,0.4452426890402206,0.5054664713780375,0.7782319217023118,-0.35202447082566757,0.30914297258173046,0.09420387218952281,-0.07134578166534145,0.7146792688662054,-0.061233517195581996,0.7194632809680486,0.4213266636089663,0.634316060519986,0.3563349022440683,0.49639274269676703,0.765699433559189,-0.10490058130787852,0.1462572871511742,0.13405139415393325,0.01716532864165102
KMI,0.33659269238454564,1.0,0.1792622367903856,0.0,0.34330099701400074,0.40046329493467236,0.28131853585962296,0.2777556039061035,0.0285459290173149,0.14000639021037994,0.33374765260593303,0.06936266978198638,0.16617758004061364,0.4573253520480363,0.24038664693411904,0.11226906337628746,0.42396814226002516,0.3415241016498866,-0.2476231970378176,0.4959857039495317,0.32902640849059195,0.3979887584279581,0.27534675223087934,0.4757590654605525,0.17695416572456105
MPC,0.7150188604502814,0.1792622367903856,1.0,0.0,-0.3356141498473457,0.530391229510421,0.22838401486336302,0.14831719181011754,0.8392078409023345,-0.6835503005284473,-0.040416451261349434,-0.12894107361787885,-0.5225276925667107,0.6488666690445173,-0.47520861782160606,0.6548791188583125,0.2791056427185631,0.6424490148738291,0.1694628780600238,0.07017468804924874,0.945100253854857,-0.5381735542965027,-0.33018971680342113,-0.1077949543465832,-0.4643449924335644
PSX,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,-0.03163722137166803,0.34330099701400074,-0.3356141498473457,0.0,1.0,0.038444039671858256,0.750501871067376,0.5413601388720073,-0.3487970357392042,0.7200371252488142,0.8470002923289346,0.8175020934536587,0.8018544638307723,-0.351406192890981,0.8539297861225222,-0.3641515036393943,0.4879404903722307,0.27596314212572803,-0.06335412081567306,0.6022347225104945,-0.2160923084576909,0.8111643572804418,0.7794545352941524,0.7969416837024732,0.7579432681652744
CVX,0.8751503428142913,0.40046329493467236,0.530391229510421,0.0,0.038444039671858256,1.0,0.3707184859262068,0.5602709676905826,0.6294764123085158,-0.29822316879170674,0.34886723424368116,0.10254781940683595,0.15960686286305104,0.5675957764554741,0.1452886334998847,0.650513083364182,0.2993507470728183,0.4962199819194752,0.3142335918182989,0.5974887174772867,0.6622312543353568,0.05186268249323202,0.33471196731144226,0.18581664088520528,0.18531053538771625
MRO,0.4452426890402206,0.28131853585962296,0.22838401486336302,0.0,0.750501871067376,0.3707184859262068,0.9999999999999999,0.7629029632896562,0.21312829711799028,0.4106103512200554,0.9205568455325043,0.8471564066266464,0.5315582918435089,0.05875690968566824,0.5984164074667842,0.15635078855894646,0.7689598983153154,0.7718024788520342,0.1714056585783374,0.6856508552105497,0.3226356822976578,0.5143709884749003,0.653138050838468,0.7667498582392502,0.5576000977205542
HAL,0.5054664713780375,0.2777556039061035,0.14831719181011754,0.0,0.5413601388720073,0.5602709676905826,0.7629029632896562,1.0,0.16779607721641293,0.3812238608367544,0.802788946388063,0.7503513599460514,0.5973468588604132,0.17031683986356164,0.5807381278394691,0.2766674076996672,0.6708615129357777,0.6598253886897923,0.19737115389658666,0.7617344981979572,0.30366965113354544,0.4745844106924725,0.7945191680946531,0.5734025548298621,0.6548653660374604
EQT,0.7782319217023118,0.0285459290173149,0.8392078409023345,0.0,-0.3487970357392042,0.6294764123085158,0.21312829711799028,0.16779607721641293,1.0,-0.6468237049312628,-0.03361169907372252,-0.0965665413077699,-0.42436699627674873,0.5566607330961253,-0.4124822311952606,0.744307621818682,0.12848061881495224,0.5122825507758756,0.4764605777394566,0.05784107307964833,0.7675394714303325,-0.49886185670664623,-0.2723374390605524,-0.11891287261906705,-0.4130662837372844
OKE,-0.35202447082566757,0.14000639021037994,-0.6835503005284473,0.0,0.7200371252488142,-0.29822316879170674,0.4106103512200554,0.3812238608367544,-0.6468237049312628,1.0,0.6010778426600515,0.6155799542162597,0.6870026227122867,-0.3758687756816774,0.7191360228581589,-0.40026240726490625,0.3945982731919674,0.025142964588270197,-0.13873692903570342,0.32979847669460627,-0.5738494805530264,0.8037599342192363,0.6511332879258973,0.6113461689568724,0.7189326384026393
HES,0.30914297258173046,0.33374765260593303,-0.040416451261349434,0.0,0.8470002923289346,0.34886723424368116,0.9205568455325043,0.802788946388063,-0.03361169907372252,0.6010778426600515,1.0,0.85488300821486,0.7449363418285722,-0.04199724826349826,0.8009595229571919,0.04350265061581155,0.7339470821420508,0.6141730641834975,0.06355586440917999,0.7935547715381772,0.09794574544165968,0.7421412368281661,0.8189316787096995,0.8426655625026935,0.7672522852052828
