tickers,ED,DTE,PCG,EIX,SO,EXC,CNP,PPL,FE,CMS,WEC,PEG,XEL,ETR,AEP,NEE,AEE,DUK,PNW,NI,LNT,D,AES,SRE,NRG,ES,AWK
ED,1.0,0.2607651756314665,0.8471107542557952,0.35014773086839235,0.9476286151003123,0.5654856970375792,0.5663694072880477,0.1485987234985312,0.7692413635849957,0.25877458956661215,0.6528199325943723,0.857882954874795,0.8673127510434628,0.663123833041344,0.14274895266115112,0.3061267916270251,0.9278584059264465,0.1456264541305919,0.5075414764246615,0.459131096769651,0.7006639166454313,0.8160400971783732,0.2870889919705045,0.25086232114685975,-0.09532790290714102,-0.623423801370615,0.001142943911746225
DTE,0.2607651756314665,1.0,0.24690267135613106,0.8829162514573905,0.2414060996710905,-0.5909850729958134,0.7764295049192691,0.6591775349739265,0.18274597520071767,0.944365095142805,0.8333571635980099,0.4776427543774918,0.6426389951643052,0.08413736825125183,0.7691036222228043,0.9678458276737824,0.16123608353985014,0.8700513591945335,0.9241360903390404,0.7386596402596171,0.7049921323572361,0.6280967430992086,-0.7107158693579093,0.9229672065856225,0.7294875612784826,-0.7135608397016698,0.8526989737439501
PCG,0.8471107542557952,0.24690267135613106,1.0,0.42779257783987196,0.844409921329497,0.46237833031160047,0.5180587951510996,-0.06635407339995096,0.8990522759724715,0.24519687104114124,0.6536057936503976,0.6953792306006257,0.7443559589062791,0.31398137636770795,-0.09865443474749264,0.3143592236066375,0.824051286250686,0.04399083231505037,0.3813925481684356,0.557404460497308,0.691106807005232,0.7616012396068605,0.30713869626208967,0.3423043049222644,-0.25154022249671093,-0.45831319540059295,-0.008787856318466427
EIX,0.35014773086839235,0.8829162514573905,0.42779257783987196,1.0,0.4054797518971973,-0.4128640253327145,0.8324184159523915,0.43663159039836363,0.44092661753791884,0.8593979371324683,0.836043499471754,0.5494908579278072,0.6741501677206614,0.028235825594430462,0.5473186007913307,0.9040485581548472,0.2987110800948842,0.6519017692464768,0.8332098745238152,0.8727703087317227,0.6576529880844404,0.6858119459831424,-0.544068266063468,0.8510454040759846,0.49351579679539215,-0.6468074791649673,0.6317931624652702
SO,0.9476286151003123,0.2414060996710905,0.844409921329497,0.4054797518971973,1.0,0.5657716124623453,0.583135167432709,0.03942822543371188,0.8258766688016681,0.2624199314227865,0.6274445729101242,0.8151563972972806,0.8214235000013344,0.5980020915726856,0.0779068950257473,0.3028944154135452,0.8910091365955926,0.05814875475837912,0.46024480234143317,0.5240400287742873,0.6609542723760657,0.7822930023852934,0.28291536184628685,0.24660791830936502,-0.18003771271470376,-0.5470466166027734,-0.07240931687829068
EXC,0.5654856970375792,-0.5909850729958134,0.46237833031160047,-0.4128640253327145,0.5657716124623453,1.0,-0.12250650313081857,-0.30865043938506986,0.46219726823391516,-0.5765709976400839,-0.2029527521526695,0.34735004596848407,0.13543955469272861,0.5666254553205061,-0.45546862250597786,-0.5463371344367591,0.6464130384614625,-0.5764945624408611,-0.3381233157051132,-0.19020587153333854,-0.021499997525049178,0.13450281766571914,0.8146982205990242,-0.5901875748368209,-0.5890970780556404,0.18918695437256547,-0.6685654319045826
CNP,0.5663694072880477,0.7764295049192691,0.5180587951510996,0.8324184159523915,0.583135167432709,-0.12250650313081857,1.0,0.53729300715628,0.451842674314738,0.6902772368348222,0.7948227657973834,0.736761424923758,0.7667131277897623,0.38824903367362806,0.6382235199984418,0.8058514859728826,0.5679288754450171,0.651138512764763,0.8456083563714862,0.8535214283556309,0.6515901838388602,0.770680176723001,-0.46841601893750895,0.6652110359088721,0.5052660570006489,-0.6703109240586413,0.5571632467557817
PPL,0.1485987234985312,0.6591775349739265,-0.06635407339995096,0.43663159039836363,0.03942822543371188,-0.30865043938506986,0.53729300715628,1.0,-0.22081560104548292,0.5321284965148056,0.379974573252971,0.42771006241258214,0.38471595727993346,0.4360086797718889,0.8538522261567698,0.5649671314537908,0.1513056837128623,0.7783875086930503,0.696421517722125,0.34691451150376407,0.35847637863199255,0.36812134400721896,-0.4953776081124408,0.41958510932596604,0.8708636608626734,-0.3653156393988789,0.7502118672659004
FE,0.7692413635849957,0.18274597520071767,0.8990522759724715,0.44092661753791884,0.8258766688016681,0.46219726823391516,0.451842674314738,-0.22081560104548292,1.0,0.2379695100042777,0.6155327600381012,0.6307189440047019,0.6608413866074568,0.23323713681651664,-0.23871017483939944,0.27005250909191303,0.72740504206789,-0.06530255799060933,0.2781394265462213,0.5113176315577609,0.6422171286444467,0.6719679056402257,0.3386988642345743,0.31051951960302804,-0.3895410226581701,-0.4268777062213042,-0.1515079318326189
CMS,0.25877458956661215,0.944365095142805,0.24519687104114124,0.8593979371324683,0.2624199314227865,-0.5765709976400839,0.6902772368348222,0.5321284965148056,0.2379695100042777,1.0,0.8460334242682426,0.4559483380995094,0.6584921756323943,0.011359228159729107,0.6800467629577499,0.9354332260302951,0.11421629577731127,0.7839804409471463,0.8722832504580695,0.7135535687562693,0.7401001513764591,0.6211089852599636,-0.6470552998256981,0.9265225943481745,0.6190814388866561,-0.7148848786159894,0.7579353676532437
WEC,0.6528199325943723,0.8333571635980099,0.6536057936503976,0.836043499471754,0.6274445729101242,-0.2029527521526695,0.7948227657973834,0.379974573252971,0.6155327600381012,0.8460334242682426,1.0,0.7188806826214046,0.8931515682555282,0.20303139232719253,0.4932414182093429,0.868725453187117,0.5091906045148984,0.6560504441767439,0.8703358831165434,0.7564361459571007,0.9000921641933322,0.8587898516425726,-0.3616390663376708,0.8574555971458122,0.3483482601858443,-0.8663831725373476,0.5612583992534798
PEG,0.857882954874795,0.4776427543774918,0.6953792306006257,0.5494908579278072,0.8151563972972806,0.34735004596848407,0.736761424923758,0.42771006241258214,0.6307189440047019,0.4559483380995094,0.7188806826214046,1.0,0.8682690829092852,0.6366368936164519,0.43753679870212847,0.5277500018960412,0.8292513038766981,0.38563951539362473,0.6935384557297872,0.6098236769645818,0.7347113885275991,0.8786752287640902,-0.004988320958805448,0.4040259365030469,0.2526381166781013,-0.6821420763966657,0.23316977268546266
XEL,0.8673127510434628,0.6426389951643052,0.7443559589062791,0.6741501677206614,0.8214235000013344,0.13543955469272861,0.7667131277897623,0.38471595727993346,0.6608413866074568,0.6584921756323943,0.8931515682555282,0.8682690829092852,1.0,0.4825975017889568,0.4446570802273121,0.6702758687622548,0.7480944598163752,0.4836038207833709,0.8029537689045295,0.6810135651195389,0.8572751463173178,0.9142424944485703,-0.10520453583859296,0.6176619072191639,0.23105955442674495,-0.8266907105265346,0.35224592420659445
