tickers,MGM,GM,FBHS,TRIP,PVH,FL,IP,WHR,F,MAT,TJX,MCD,VFC,GPC,HRB,LEN,HAS,PHM,BLL,NKE,JWN,GPS,LEG,LOW,HD,HOG,TIF,AZO,M,MHK,KSS,DHI,SBUX,ORLY,BWA,TSCO,DRI,AMZN,RL,YUM,MAR,BBY,SEE,EBAY,PKG,AAP,KMX,WYNN,LKQ,EXPE,UA,CMG,HBI,ROST,ULTA
KSS,-0.19768396986010303,0.08129215245730474,0.29199460463689053,-0.4077097373313505,0.42308495035137106,0.5052923285008637,0.3833409271437801,0.40507214765914784,-0.19202299500286474,0.41652826232879425,0.06377401579474895,-0.03729578845073631,0.6255074919260695,0.0613290155030819,0.20197126066213084,0.0,0.6307652754473324,0.3434876783279259,0.28384836797861385,-0.14381428680930955,0.8139738454091756,0.5480499666585542,0.40618157961498885,0.16446665576379974,0.29384224403263726,-0.21156191204348468,0.4097327731656821,0.10373615672135995,0.5860983736747343,0.30491735353344357,1.0,0.41613303526412165,-0.29922773807000574,-0.2977143324540194,0.12367756716193139,0.5712754612840957,0.700312354435934,0.26480915246750236,0.49768471451337754,0.38958898228471256,0.2295174980077736,-0.1448783577689854,-0.1055476203610808,0.2483358469965929,0.4116785857332602,0.01164835101543107,0.14472264127438442,0.18257581445132667,0.0,0.2002364733902264,-0.1641617467193195,-0.270773331985536,0.3315774436627508,0.3006289503813077,0.11289509346631674
DHI,-0.6240309623802357,-0.06360426199363053,0.9067246268853687,0.20605496575814433,0.6621338803749576,0.8797903841565085,0.5504120054133845,0.6711122819214742,-0.5314658541605699,0.8029858885064182,0.32467816984899894,-0.6354056883835272,0.757434325765342,-0.1915292254514637,0.45840454561737554,0.0,0.6320523240595969,0.9453299965286047,0.6640031519852426,-0.637177964436926,0.5509682649340685,0.9330306432887903,0.6132472092871988,0.45598735521145856,0.8814154473240903,-0.16154907797005716,-0.2946636759945763,0.07903697394705221,0.35596582067007976,0.9023720849694498,0.41613303526412165,1.0,-0.0729178706978017,-0.10826700029535366,-0.4898666506446356,0.4868129988202963,0.6376423937648387,0.8971306840715321,-0.0860992878946922,0.29892981994383705,0.36598722005686923,-0.8256365277838048,-0.5668768370276045,0.9121295265240165,0.7716698184412845,-0.5065665681086629,0.14122654794056577,-0.23189260636009063,0.0,0.8647515299006395,-0.6187705108910064,-0.6465970752850835,0.8229520057003993,0.4847298373592463,0.659611884585354
SBUX,0.30540469708520607,0.007831308992465586,0.06283752103054867,0.5828414818772675,0.1226060466654097,-0.0822471332806164,-0.09622925966147919,-0.0377905955327991,0.1779002917782216,-0.09404017404367612,-0.4210280852977336,0.0049842354999935605,-0.058823439057048246,-0.019336660145349127,-0.10653474036327144,0.0,-0.11469355051855117,-0.07986175646196053,0.26949702200283904,0.4979401799694339,-0.06988490854675941,-0.11892565049238352,-0.27263107772635686,0.3607960562174067,0.025230525237589674,0.7717058426701315,0.07007908274170517,0.5438836057997953,0.2569584008020078,-0.034201082249295835,-0.29922773807000574,-0.07291787069780169,1.0,0.7819380658995104,0.2577952211340073,0.22311706818902954,-0.14729681339467937,-0.031848991424002014,0.17663422059551312,0.41768414617581434,0.46803933963916444,0.04910658227209994,0.16877776882409706,-0.006642571440860177,-0.15383430862388575,0.42587876404704633,0.05454742346840932,0.207875884081895,0.0,-0.11441768160174201,0.41799257944609514,0.6171148191287066,-0.038597943053630596,0.08040405359225952,0.3770513018184404
ORLY,0.04215342055067118,-0.11038377292405817,0.08960076464376052,0.6265976012053418,0.05177898830190702,-0.09280107061842281,-0.17207074619909835,-0.08187989203238205,0.023603996931359415,-0.0720305919008849,-0.42710974804543717,-0.22639379994066886,-0.05433490962483082,0.07371850073523689,-0.2659413016904891,0.0,-0.15117690091012045,-0.06508886873705878,0.2117487784132379,0.43499464019270023,-0.11446599617190424,-0.08214912679027969,-0.3118074205626576,0.2677032703739076,0.06738755524459802,0.7408855624212631,-0.08445676944621262,0.7374611167513421,0.23092695578638717,0.01225122470010459,-0.2977143324540194,-0.10826700029535366,0.7819380658995103,1.0,0.08199918974096422,0.21433437374262257,-0.09210950748370374,-0.05297835863766975,0.0746395264873821,0.4753517530048769,0.26020401404274335,-0.06839517536725231,0.03201241434910724,0.03400803078070282,-0.15758340520775718,0.45246669153866004,-0.03919193408696483,0.01065509008369089,0.0,-0.0034441821872156237,0.3583657996245936,0.4756053025431902,-0.01489806827399826,0.1460838634103228,0.1707961132091336
BWA,0.790122292965096,0.43306988949107994,-0.41609629908611173,-0.35065912293536483,-0.04156542452195998,-0.3418029017620856,0.08562738985924126,-0.08678332575559987,0.6111067910605292,-0.27303537163041053,-0.4230436102455564,0.7169607723793965,-0.13370999382335466,0.41956730817151244,-0.11851144406596478,0.0,0.05103356642970079,-0.4779776955488194,-0.21126470932871552,0.7651786532018093,0.13936303942144088,-0.4082426415692501,-0.1844566428168957,0.04577767401117429,-0.5070801649401208,0.3435733975825314,0.7286988838596709,0.04314998438055154,0.277205090899555,-0.46281707545618456,0.1236775671619314,-0.48986665064463547,0.2577952211340073,0.08199918974096422,1.0,0.20650729289750913,-0.052842036465107094,-0.4247968264089928,0.7044375352937587,0.20104642477970938,0.2290323627449667,0.6504499924114917,0.6616148030524776,-0.5028761260322956,-0.23539581252689276,0.5962308435068439,0.22282366706983237,0.6893131537139149,0.0,-0.5771000533201532,0.5635489042078462,0.6079792528459572,-0.37607757917448253,-0.2797763610848476,-0.1487229595405477
TSCO,-0.16497527914307214,-0.08390224477220494,0.4714521688888393,0.006076947402445266,0.4848100723838646,0.5474501522884092,0.32753293218511526,0.31789217126326386,-0.28802315779423604,0.39106279655988424,-0.007699587631154465,-0.17951041201056178,0.6140266597554396,-3.51370007024024e-05,0.027991271990425174,0.0,0.6025385461256373,0.3765974584315571,0.4404020602362771,0.09908650119609254,0.6837808295061519,0.6272074055437653,0.24724101484145322,0.40875336252139133,0.4382457696601164,0.15310027397239603,0.24168375666818795,0.39122910733432786,0.6556177993349668,0.3740950366557518,0.5712754612840956,0.4868129988202964,0.22311706818902952,0.2143343737426226,0.20650729289750916,1.0,0.6512939211274542,0.4845203619133992,0.36907550304629333,0.6151945160415597,0.6725118318875727,-0.33115087620753914,-0.24709442367813608,0.42738813402438897,0.3200474790142863,-0.025220137632465493,0.07129914632692869,0.19122529891690496,0.0,0.28852479287046784,0.10641578685782152,0.0011612390389867289,0.3260546830014234,0.48286332265469956,0.49096388549482123
DRI,-0.4188907198049316,-0.1315043884847225,0.49940929381681476,-0.07239961053662214,0.39388100123107206,0.6928293995045197,0.3535120762753537,0.40080691893112974,-0.48111276054066066,0.4821370969622811,0.1501822611908015,-0.29892630851490853,0.6362987737316568,-0.16986430355921037,0.08986285812712758,0.0,0.6085183218241437,0.5109150434348024,0.3022478768444158,-0.24845872884070597,0.6586584385923434,0.7078357917371559,0.28231603973565306,0.15857480405028374,0.4590314800109994,-0.1761216239438532,0.06792545210015927,0.30429277923288744,0.45423737274838766,0.4727912068036419,0.700312354435934,0.6376423937648387,-0.14729681339467937,-0.09210950748370375,-0.052842036465107094,0.6512939211274541,1.0,0.5044227261904853,0.2372325161205264,0.43159910387379186,0.5266809045765846,-0.3266305452902428,-0.41897434391406624,0.47738039397015536,0.4302844755750878,-0.3044255379466873,-0.06322437718659445,-0.07445729403685018,0.0,0.4543226588108313,-0.12011792908147645,-0.23307241215897384,0.4519031969684635,0.6017485123001248,0.38978333380798047
AMZN,-0.5862295401183186,-0.11504654674981502,0.8901453899324048,0.29444205506174503,0.6329055107746482,0.8625704798565191,0.5182350348053215,0.5986273660852125,-0.5278488101334278,0.7866111823636704,0.4427692487354255,-0.6112300361619885,0.698431600092214,-0.02776987357338591,0.37665966172328763,0.0,0.6716389625817699,0.8803469446876354,0.6771508632540847,-0.5355952022102335,0.4931483230215036,0.8935997327381565,0.5841950870783837,0.4185327205553007,0.8715586871050272,-0.16137278537559055,-0.3631174465636068,-0.013885688831544885,0.32226318107312735,0.8609482867044307,0.26480915246750236,0.8971306840715321,-0.031848991424002014,-0.05297835863766974,-0.42479682640899274,0.4845203619133992,0.5044227261904853,1.0,-0.13077200743438286,0.18813890578144923,0.38124573750190116,-0.813707588611057,-0.5993837012350157,0.9289194490585132,0.7319070721003167,-0.5196930551490389,0.1276373264542996,-0.268469401156347,0.0,0.8880462898730205,-0.5658436893510016,-0.6043243374013191,0.7986268994882659,0.5043187433440873,0.704070964679816
RL,0.5269612441512365,0.5837679522224177,-0.00018797281210899315,-0.418028968836568,0.46229718645436646,0.06558089667441992,0.4987010902446744,0.4215665850588888,0.49379545798869556,0.24156065585925246,-0.46996723636259424,0.3952170287517404,0.39986974476581966,0.3638845389193539,0.2335497862999491,0.0,0.4753229961719061,-0.018888845794858514,0.2197177673871549,0.5346814693990226,0.5788113079954432,0.036425894615278925,0.22478637436272395,0.447257881425301,-0.025216095860889853,0.3854779720996412,0.8290679621606711,0.2590584378056456,0.6977468445598212,-0.05735438487489665,0.4976847145133776,-0.0860992878946922,0.17663422059551312,0.0746395264873821,0.7044375352937589,0.36907550304629333,0.2372325161205264,-0.13077200743438286,1.0,0.5033121687120767,0.17949191562514075,0.2911195175048987,0.5517748406341931,-0.08721773039987402,0.267143183829799,0.6331283372669582,0.5011714201973696,0.7334451562662366,0.0,-0.2000396680488881,0.2527643684760401,0.2157323365028973,0.11907985294918619,-0.19343515431217348,0.09150933053403754
YUM,0.017354941552208996,0.25730849755045593,0.42429516178771526,0.0860817722210707,0.5727436646714127,0.31698886660581926,0.3984958320494829,0.4595095362841555,0.11120982486795888,0.40736065755506845,-0.39610264058990585,-0.17228516987053102,0.5487302084408588,0.04443858186890669,0.23601586325910917,0.0,0.4625388572262359,0.32992882168120163,0.5139965750049369,0.23584383806445444,0.4851932330469094,0.3737046145894264,0.2845227208109329,0.6644150086138079,0.3931397054108407,0.5459413658446546,0.39852190861230713,0.5822362692544569,0.7128325628817267,0.3469897742309608,0.38958898228471256,0.29892981994383705,0.41768414617581434,0.4753517530048769,0.20104642477970938,0.6151945160415598,0.43159910387379186,0.18813890578144923,0.5033121687120766,1.0,0.36640502011734694,-0.24891665797898108,0.17856704672078846,0.31247601143725356,0.34174572807370324,0.3781434738347568,0.4084738476281765,0.42996650484077326,0.0,0.22546836212033108,0.1025804770658264,0.06708431399489444,0.34361866843659206,0.015590778169929369,0.29807952991097464
