tickers,CERN,XRAY,LH,HCA,AMGN,CVS,BMY,ABT,CAH,PFE,JNJ,MRK,VAR,BAX,BDX,PKI,HUM,DHR,LLY,MDT,TMO,CI,COO,MYL,SYK,HOLX,REGN,IDXX,VRTX,BIIB,PRGO,GILD,BSX,PDCO,UHS,INCY,MCK,ABC,RMD,DVA,HSIC,WAT,ALXN,DGX,MTD,A,EW,ISRG,ILMN,ALGN,CNC,UNH
MYL,-0.05492446388586149,0.2562576502774323,-0.08925279555842863,0.7298813210801662,0.6922070815519497,0.5486650118248629,-0.33911720624943553,0.5516478984350106,-0.4635439867833423,0.696692711830864,0.7520313355038969,0.6443185645281946,0.2872841212226562,0.9232679835511488,0.47633229598553306,0.8499561937337323,-0.6148407824786551,0.5100599196318185,0.6601161214694407,0.8344337863789846,0.9360171269256448,0.654864436017864,0.6308481449528563,1.0,0.34917087037892663,0.5051271860229845,0.7250075746182008,0.6015207193878453,-0.04624923726070002,0.5980571380650319,0.21039847056614328,0.7455607486724815,-0.3459377600924838,0.39100581746138996,0.6826905076428202,-0.5276248286582745,0.32121432753405044,0.6362685754736712,0.72024946930027,0.7966478220309752,0.5967788326608647,0.2495253627598619,0.4327764225527037,0.3954592060196044,0.5462042031974199,-0.2698098600583493,0.2583842354729917,-0.11200282478032714,0.5475073461374507,0.03143328160709925,0.27386507968114937,-0.20569245840278835
SYK,0.0643795991880984,0.5352682427995248,0.48690056908634055,0.35213293694883685,0.144614089027582,0.2940446497691592,-0.14350728947641458,0.11630981775045396,0.04712190667322573,0.16925251647204587,0.2388354764100544,0.15370235395418808,0.371886102246363,0.40571091519371344,0.7460597000357904,0.41542474214520697,-0.03070710616384355,0.6333428505764068,0.08228802672286174,0.4231308773862691,0.44163959843703604,0.41128913649177695,0.24936330488282385,0.34917087037892663,1.0,0.4439374325331645,0.17650464120965084,0.36299148242717433,-0.139405216612506,0.2689323093548232,-0.0067398303010951024,0.2156348355718323,0.40122640245321883,0.13401129323022293,0.5856757443769289,-0.09277467674370257,0.09893748955679954,0.27664547083857727,0.23049463052777827,0.227838291937509,0.44661191125963434,0.5951485194393741,0.19806806605014482,0.47106723138014067,0.6125170382807977,0.4047884475937529,0.10417036681007429,0.13149287282757424,0.5106681121456749,0.1009320431520208,0.29332320050406974,0.10359136178004438
HOLX,-0.35645287862061287,0.3801262147691683,0.49679030980071975,0.197813918703957,-0.023969154512248392,0.054212305529068854,-0.24703978292272985,0.02587429948779169,-0.09992062324779065,0.06315186970462686,0.15501125936104937,0.12674353411108513,0.31147791224608656,0.5488757983036675,0.6092635453179203,0.4233557553793046,0.1932755022057427,0.5948893119532368,-0.03004879487554408,0.42938238751402136,0.5358539915819454,0.4431859419979973,0.2463703056508137,0.5051271860229845,0.4439374325331644,1.0,0.06511531904512012,0.15136838286829796,-0.3306819150912231,-0.03996828051785091,0.046642848876946766,0.073779223380828,0.1967361581863572,-0.06319540929063822,0.621745310598264,-0.4630199644108904,-0.17080630436846203,0.2496540489692282,0.08023232103760602,0.2523308624930198,0.014082197547057576,0.646269980758406,0.06680213365996347,0.4927758433910987,0.6147606534004221,0.35536525039256917,-0.2857234197655323,-0.017541700421801514,0.6246668200633465,-0.09257784359431413,0.543747709160389,0.15243650487372354
REGN,0.26320803823393885,0.16867891598426094,-0.31532888536220005,0.7973996824360032,0.8724265249432839,0.6893595762229229,-0.12293846828845528,0.7840369231837547,-0.48103588381090934,0.9012592513910634,0.6704795716262854,0.7012715387689066,-0.05978078152870484,0.726704796156364,0.24982853935698807,0.8258559244991581,-0.807664755141581,0.49092130597994876,0.8671066645546148,0.6453592970350069,0.7490499144213595,0.5953623588096789,0.8386701432166307,0.7250075746182008,0.17650464120965084,0.06511531904512012,1.0,0.7028452836118673,0.36606726963507447,0.8553847341319124,0.43213806459035503,0.8816964585719776,-0.38022463953931124,0.6130012853555472,0.4912471965013742,-0.10799145731869478,0.5844440608654092,0.4467636998533039,0.9404792351245992,0.7954151847190306,0.7253645875611314,-0.036387039891561834,0.6564770982877245,0.3022092255569175,0.2247281468674501,-0.4857455660442463,0.5247581859274165,0.13582748410739462,0.2762507910576039,0.3923761581267009,-0.22987927748968787,0.007613963689028315
IDXX,0.18411253318485382,-0.09259357395874968,0.16420484742665914,0.8285482234363043,0.8091330539676567,0.8029035529460222,0.09773437220981311,0.8482877239713963,-0.3668677171038149,0.8059408210964994,0.7530016695132113,0.8250090771254315,-0.2807486774763204,0.5548793799354952,0.2921694248012121,0.6045648453316242,-0.6365716989132915,0.37900643950551693,0.8012289077981226,0.6956892726674713,0.5937227953593399,0.37579525990491314,0.6144521406046265,0.6015207193878453,0.36299148242717433,0.15136838286829793,0.7028452836118673,1.0,0.4621269533271376,0.8557179140390936,0.6777840200423487,0.7677310135705991,-0.35115887760244346,0.779835554184984,0.47587233392413664,0.014751370628981386,0.48505611708355084,0.44023766461554265,0.7316587212039412,0.8042483138710044,0.7461240514783216,-0.13563704933531562,0.8013528588407784,0.5622380670866443,-0.004178770906815099,-0.5119744848538499,0.779761347036998,0.09418432428349523,0.10874619519663932,0.5872337304475208,-0.37155842111168175,0.1331053846201503
VRTX,0.4568201686344648,-0.33707910690463677,-0.016295621009197195,0.24175560644363306,0.3730994008325624,0.5446087418341568,0.28308197675062086,0.6062677904067124,-0.23869674981472974,0.3788415124949707,0.1259062176395776,0.25435037310131653,-0.5941095094780711,-0.049091108775715916,-0.22988340667405444,0.13632515679924279,-0.4372946637292071,0.0737173203951722,0.4367692657199743,0.034351254965593436,-0.027729867319308113,-0.16069320633570203,0.3364539096422692,-0.04624923726070002,-0.13940521661250602,-0.3306819150912231,0.3660672696350744,0.4621269533271376,1.0,0.5483161358688439,0.569775307326655,0.28565421599729174,-0.13624747996822312,0.5618256973539608,-0.13740663064352635,0.4961190969344168,0.22254363727842189,-0.2022748441435935,0.4207378655118276,0.25377172138262993,0.39494912839827245,-0.36166263202221144,0.5995651882568299,0.17076811833012975,-0.5077230637427657,-0.3822627779334566,0.6660187821859305,0.1489489241557567,-0.32872459304775065,0.7259751430967412,-0.779572717825542,0.30195499781044505
BIIB,0.28530150305369195,-0.07412378220729612,-0.04627138547496123,0.8068482327483222,0.872954221447951,0.79958626555261,0.10367546016597155,0.9197296808497704,-0.40751921945687936,0.8941209473615012,0.7384382467464347,0.8013236119907521,-0.2905704516550069,0.575642163638936,0.21782128791365443,0.6164906683714964,-0.8367777576389351,0.40845838988184224,0.8810280400140349,0.6290367887814404,0.5888466478921388,0.3428606757494998,0.6400464649665775,0.598057138065032,0.26893230935482326,-0.03996828051785091,0.8553847341319124,0.8557179140390936,0.5483161358688439,1.0,0.6465171236876511,0.8425915276835775,-0.41000699773650434,0.7719653997323035,0.38541595465189826,0.123355620012175,0.5827296399662215,0.437537681127914,0.8410561707318185,0.7906415825259445,0.8304659048876075,-0.20563424415592296,0.8659158677708804,0.4805290933633579,-0.025613308168035944,-0.5436658622383467,0.8102586443924242,0.04181340546529678,0.06996902396011843,0.6397193353842311,-0.45394875792550804,0.025354302619145012
PRGO,0.2267796064759113,-0.30679070754464155,0.23100765638321338,0.5044772657617254,0.5067450094763738,0.6088842773598082,0.4641599975149027,0.777385896499462,-0.26679931794343276,0.6067993237879792,0.48030953610677807,0.6624606459900627,-0.6121004873066039,0.20138746352197837,-0.13350164539486148,0.225382522530759,-0.423698307675175,0.17286634433394826,0.5981564065014029,0.24746048962947206,0.18774372595929056,0.0335050561626809,0.332598981494839,0.21039847056614328,-0.0067398303010951024,0.046642848876946766,0.4321380645903551,0.6777840200423487,0.5697753073266549,0.6465171236876512,1.0,0.3883104986364885,-0.45129811586955637,0.6963482064179177,0.18293643418283778,0.2886705362179456,0.41463657215341637,0.1680613328027387,0.4488794320209015,0.5848470122371301,0.45320758303672565,-0.36655447860392115,0.8275691185449442,0.5252286272498757,-0.4040621509130741,-0.4692619996041157,0.6975996442560284,0.21008615210964512,-0.2815114199395908,0.7120601051639445,-0.6031251392033139,0.3982145411591239
GILD,0.17206349742973967,0.07656352453314293,-0.22888368813136734,0.8594613120562894,0.9290449922537422,0.6793633702568249,-0.19714132221710243,0.7481822481016888,-0.4141795401313334,0.8697933287831833,0.7933426008220665,0.7766591311334639,-0.04667018289717348,0.725563714888252,0.29941618896938205,0.7446718145963195,-0.825662427670984,0.3162987936660167,0.86379708027728,0.7622876473047089,0.7514468968808243,0.5036699763226656,0.6973514994545718,0.7455607486724816,0.2156348355718323,0.07377922338082801,0.8816964585719776,0.7677310135705991,0.28565421599729174,0.8425915276835775,0.3883104986364885,1.0,-0.4081835281254118,0.650136650964488,0.49300384373786116,-0.14943937434453275,0.5684036570654285,0.5937279494027404,0.8763931833934541,0.8335566975076244,0.7314707114647071,-0.07723970609595845,0.6063397676949146,0.2790922322207868,0.2181967595548566,-0.5124853020459404,0.5873699679949388,0.011416910783088312,0.308774929804442,0.3144048996483988,-0.20532753481336374,-0.1573810422632588
BSX,0.13603762224169821,0.5294645630212583,0.3396141507003931,-0.3761770674605186,-0.4962726188906883,-0.21064382672612925,-0.1012791727410051,-0.48525740114813803,0.4774851985690088,-0.5004802601941674,-0.5760927158617754,-0.5900827698205064,0.3253433941313846,-0.2465513327863569,0.4528169809311121,-0.11618173576445023,0.5543710244337171,0.29934190893740087,-0.5578928032550141,-0.29915247777161424,-0.1815107335082617,-0.038420578222319486,-0.0990438347054202,-0.3459377600924838,0.40122640245321883,0.1967361581863572,-0.38022463953931124,-0.35115887760244346,-0.13624747996822312,-0.41000699773650434,-0.4512981158695563,-0.4081835281254118,1.0,-0.40366072412728166,0.13023658866793575,0.1553101861985831,-0.32424212398978636,-0.3917694615950796,-0.32480884099437835,-0.521525903159974,-0.2105074883412648,0.631711639688778,-0.41611147926314124,-0.07701718519487413,0.414837783238982,0.7999549932960808,-0.4303237876372306,0.2009997547829438,0.3292913467770306,-0.11015009107610363,0.27477994622522617,0.2648914933540125
