tickers,VMC,FMC,NEM,PPG,APD,NUE,SHW,IFF,ECL,EMN,ALB,MLM,FCX,MOS,CF
VMC,1.0,0.14463856583008772,0.07217075214413853,0.460550099019191,0.25542134437745373,0.5615620885755126,0.40913409254480126,0.5962468023984178,0.28770688529660304,0.7565307566800625,-0.0587525102228429,0.9100370722239028,0.43484365795872726,0.2437639707524483,0.5375729135880265
FMC,0.14463856583008775,1.0,0.2379681855049626,-0.4263699609956196,0.7932398115461291,0.48587305826874955,-0.5313222656911797,-0.009029821701872033,-0.5975976673654865,-0.0627454067536355,0.6011801410514377,0.33682769479057606,0.4072619170136847,0.0905861729315392,-0.26591545499233216
NEM,0.07217075214413853,0.2379681855049626,1.0,-0.5287823752567709,0.48390290245848055,0.41158643418242175,-0.46000802577803257,-0.25848936147755996,-0.6271638010552912,-0.15124021782583114,0.02256711005090285,0.09034201399033123,0.8074387426586733,0.213377640404624,-0.19736431822429223
PPG,0.46055009901919103,-0.4263699609956196,-0.528782375256771,1.0,-0.49019301766590245,-0.24429961298473682,0.9617936340132371,0.7612079143502035,0.8443338969403346,0.7631351978300072,-0.498685059644229,0.2819080570568705,-0.2676481803595485,0.0789045009627787,0.7885242571485261
APD,0.25542134437745373,0.7932398115461291,0.48390290245848055,-0.4901930176659024,1.0,0.7560655990891726,-0.5367848860648713,-0.020350021053380313,-0.6763101738385903,0.044333132880407994,0.5696480841293076,0.4701602123108192,0.6118323458538851,0.36599219231855146,-0.16008169390658403
NUE,0.5615620885755125,0.4858730582687496,0.4115864341824217,-0.2442996129847368,0.7560655990891726,1.0,-0.30792633229016864,0.18221364425093253,-0.3229439575089369,0.30211004814791953,0.46002228035714904,0.6884573032761925,0.6226126686775044,0.3479255209386648,-0.016403001962944763
SHW,0.4091340925448013,-0.5313222656911797,-0.4600080257780325,0.9617936340132371,-0.5367848860648714,-0.3079263322901687,1.0,0.7056415681845584,0.824214855921025,0.7156355590402038,-0.5843919005757519,0.20318599723414735,-0.2639675573920316,0.06226083470447915,0.7901698386941785
IFF,0.5962468023984178,-0.009029821701872035,-0.25848936147756,0.7612079143502035,-0.020350021053380313,0.18221364425093253,0.7056415681845583,1.0,0.5425964600760711,0.8671441323316454,-0.14755805947325054,0.48871405358199915,0.08508047042091106,0.06786499655447843,0.6639147300345758
ECL,0.287706885296603,-0.5975976673654866,-0.6271638010552912,0.8443338969403346,-0.6763101738385903,-0.3229439575089369,0.8242148559210251,0.5425964600760711,1.0,0.5154927024608142,-0.3790228668474064,0.09313671277109875,-0.462833330901402,-0.10633532468261375,0.5508510406299039
EMN,0.7565307566800625,-0.06274540675363552,-0.15124021782583114,0.7631351978300072,0.044333132880407994,0.3021100481479195,0.7156355590402038,0.8671441323316454,0.5154927024608142,1.0,-0.18892334525748897,0.6716472044320919,0.21080586537755508,0.3286996111513469,0.8111183603487164
ALB,-0.058752510222842905,0.6011801410514377,0.02256711005090285,-0.498685059644229,0.5696480841293076,0.46002228035714904,-0.5843919005757519,-0.14755805947325054,-0.3790228668474064,-0.18892334525748897,1.0,0.1946364651023881,0.07078273435062826,-0.03588458731495822,-0.4627464496017999
MLM,0.910037072223903,0.33682769479057606,0.09034201399033123,0.2819080570568705,0.47016021231081917,0.6884573032761924,0.20318599723414735,0.48871405358199915,0.09313671277109875,0.671647204432092,0.19463646510238813,1.0,0.40915671441381973,0.3465980416295606,0.40170430457723555
FCX,0.43484365795872726,0.4072619170136847,0.8074387426586732,-0.2676481803595485,0.6118323458538851,0.6226126686775043,-0.2639675573920316,0.08508047042091106,-0.462833330901402,0.21080586537755508,0.07078273435062828,0.40915671441381973,1.0,0.2917714215497147,0.08113097633667593
MOS,0.2437639707524483,0.0905861729315392,0.213377640404624,0.07890450096277869,0.3659921923185515,0.34792552093866475,0.06226083470447914,0.06786499655447842,-0.10633532468261375,0.3286996111513469,-0.03588458731495822,0.34659804162956065,0.29177142154971464,1.0,0.5094921214865302
CF,0.5375729135880265,-0.2659154549923322,-0.19736431822429223,0.7885242571485261,-0.16008169390658403,-0.016403001962944763,0.7901698386941783,0.6639147300345759,0.5508510406299039,0.8111183603487164,-0.46274644960179995,0.4017043045772356,0.08113097633667593,0.5094921214865302,0.9999999999999998
