tickers,CCI,SBAC,IRM,EQIX
CCI,1.0,0.5911436421079059,0.26921191963152724,0.41123793455848706
SBAC,0.5911436421079059,1.0,0.3045310161410867,0.3345519499712364
IRM,0.26921191963152724,0.3045310161410867,1.0,0.2589514688984637
EQIX,0.4112379345584871,0.33455194997123633,0.25895146889846365,1.0
