tickers,HON,FAST,ETN,WM,GE,HII,KSU,XYL,CAT,DE,BA,LMT,EMR,MMM,TXT,CTAS,NOC,DOV,ALK,FLS,MAS,CMI,PH,JCI,JBHT,SWK,AVY,ADP,UNP,RHI,EFX,GWW,ITW,LUV,SNA,PCAR,FDX,PAYX,PNR,CSX,NSC,AOS,ROP,SRCL,ROK,AME,CHRW,URI,PWR,RSG,UPS,EXPD,FLR,GPN,AYI,UAL,TDG,DAL,VRSK
GWW,0.5051928392924212,0.7193372737523204,0.0,0.5597494785705857,0.21592053771294586,0.14964591843453928,0.21686343188211565,0.42925087459942024,0.47213654619537765,0.18913366298261294,0.2164913361002582,0.5314749425630974,0.5439078929156976,0.3573873660263127,0.71261882393411,0.36927154448275235,0.1970169087987106,0.34758403998807674,0.02087872038002828,0.13138062160278494,-0.07504264318128778,0.515477588158249,0.5519745086071588,0.25552069745726014,-0.2211738788436558,0.7167779273335654,0.19182522580037625,0.3213873069104451,-0.071815705626713,0.11932452226362941,-0.16890773085325766,1.0,0.28075437053521446,-0.37174546528012453,0.011108299632594226,0.5137353246811514,0.25591599147524435,0.20218168251336005,0.0,0.1747615920225861,0.12494259159307636,-0.06757114981052582,0.03918910259159981,-0.018189228817479773,0.31053124708983687,-0.015556979707524078,0.2072851502583723,0.30422792339827165,-0.2101516039121843,0.6787520318262696,0.28422684472199594,0.35407209158626707,0.7218483715622246,0.40561702372057995,0.3294815547648561,-0.2991875651018339,0.05991944637556227,-0.23992836212950855,-0.0910958412964353
ITW,0.8069485666412037,-0.05202153426422976,0.0,-0.07508980324588788,0.7118759394987724,0.7430812611821533,0.7666969628617912,0.09676359532288487,-0.23116678652950176,0.2929075734562039,-0.13488912361320143,0.8170529831184835,0.49115895581466684,0.7043863662428829,0.41142219286778436,0.8067958294697781,0.7077185220404374,0.4088496272483475,-0.36141540382169224,0.8594716131713185,0.7623500867834975,0.062463945452524476,0.29340876664807547,-0.3299997950627206,0.4598812781068606,0.33400151990104787,0.7601695327470384,0.5580166386920269,0.6366961407808629,-0.13654391550019299,0.6826798883630639,0.28075437053521446,1.0,0.2397758690718575,0.8654435002999903,0.3530655728471548,0.014839901951777375,0.5386457330596056,0.0,-0.49702333052956177,-0.5916557147810644,0.8120722188709872,0.8715982172034691,0.6159177698564202,0.2504598057245379,-0.3703264867842253,-0.22903039222333507,0.44054579261282184,0.6912294160999428,0.21229974087534886,-0.4336275506918136,-0.33332210582731214,0.37811209812368674,-0.23161462846492953,0.7190234494110905,-0.15949664634890784,0.7126202640834467,0.03468245602941869,0.4710863729169781
LUV,0.23505167806910265,-0.307519427120055,0.0,-0.12090277011055495,0.2964532926946246,0.32041436871865575,0.30714646841528304,-0.14105783113231837,-0.26100546289585663,0.3770824632077483,0.1651451311803782,0.11969885027414365,0.19909988852913563,0.38337748982676034,-0.1704775091121298,0.2834474469588478,0.35754454300948246,0.17650099755437193,0.22884035519136903,0.5100899671773886,0.4346192801143116,-0.1796719506223195,-0.10775365562356909,-0.23196782035271815,0.19879661172502466,-0.2152116774270555,0.3057468956862184,0.3582054068846061,0.5921232336576454,0.058797372293426714,0.4076316524035397,-0.37174546528012453,0.2397758690718575,1.0,0.451830908990528,0.06178163262972519,0.3148088852354112,0.4126798763668362,0.0,-0.1981205383820061,-0.1270102349784631,0.5001727461087166,0.3032867878603517,0.48113903621574106,0.067858085563646,-0.39457752258134565,-0.07689410819005066,-0.029325619907672136,0.6171885162192826,-0.028902225727832312,-0.3392640295191339,-0.2537704606206887,-0.07463873604108576,-0.0654879476475998,0.4599741990844468,0.1806455742176793,0.18753759793171054,0.2671669659682756,0.050770178766646704
SNA,0.6729355883624349,-0.3642272997313517,0.0,-0.33639019752182453,0.8112696498151533,0.8279519808512998,0.8086426154492834,-0.24139679253207896,-0.5715853478418043,0.25813399501728534,-0.15887652320081747,0.7805964802465193,0.21486068111226794,0.7537067681332397,0.13830478258598658,0.8301210394009971,0.8615879508580205,0.1316483637178596,-0.41214777396925745,0.9379795289266918,0.8739989332789955,-0.29677903881593454,-0.08070319048235126,-0.6430361658034586,0.5859446381451705,0.006592193731975655,0.7700098878464556,0.6571728584440569,0.8485655660660125,-0.3011844671751938,0.8829576103392272,0.011108299632594226,0.8654435002999903,0.451830908990528,1.0,0.10256015468545085,-0.04578002146225348,0.6337185731650382,0.0,-0.534611482487317,-0.591140721774558,0.9767654404185451,0.914881860394986,0.8237532251690376,-0.021116309659467498,-0.6737663097467884,-0.4072846766166207,0.1812509235325876,0.8801268816084202,-0.020364721277046173,-0.5862950897658367,-0.6204286494886783,0.05562060915523843,-0.45200528207228585,0.721019914043626,-0.20095592383545732,0.7773498731883967,0.002902740308747636,0.6102212275651022
PCAR,0.6787765293926314,0.7307762356289712,0.0,0.5292428937909357,-0.005544833412599311,0.02253165200266563,0.28766174099962827,0.7657277920386445,0.683733121457447,0.673390940917441,0.5369215343738984,0.31389459547349463,0.8126733537209005,0.12051156294574815,0.4069405445595088,0.2710090641970497,-0.02617551997451675,0.875903197857004,0.4694883198800462,0.31663053063647645,0.08782757644260311,0.7952846199773889,0.691972918548728,0.512112658407398,-0.12937332538014007,0.8115439458839467,0.4043032370011196,0.09751740881288551,-0.10208164414202299,0.52529765352019,-0.10216109376560831,0.5137353246811514,0.3530655728471548,0.06178163262972519,0.10256015468545085,1.0,0.5148124119052875,0.11926559672920986,0.0,-0.2230866780184768,-0.24707815682526335,0.036561733416245135,0.07328255634999196,-0.09996956283049394,0.8468391113655928,0.24298272935310994,0.6532130847377431,0.7212634597495118,-0.040817398241101546,0.7782018525688537,0.14762186613036987,0.6349940110947405,0.8495497529460607,0.7117714244321514,0.4824237052102371,-0.15778619085779305,-0.2756263977631619,-0.07075331427292453,-0.3255174965016069
FDX,0.3080676342034063,0.47809199606775793,0.0,0.43413952942247525,-0.1312546395964146,0.03310848488198323,0.021325237389663007,0.3868643132476559,0.4508403996816381,0.49255115862256027,0.5687044910220049,0.08531118837588983,0.4140204400556359,0.032743851205320265,0.2842947755330757,0.06523003927465244,-0.0345693740811856,0.37195849086634303,0.4160307367619966,0.06577829127953584,-0.026038766638721116,0.5005412132220228,0.2770402007826537,0.28896267827551,0.11493240659169286,0.24227871889601216,-0.000889594630841966,0.009126092232792952,0.024919897558196964,0.48435649114998847,-0.06778159610498778,0.25591599147524435,0.014839901951777375,0.3148088852354112,-0.04578002146225348,0.5148124119052875,0.9999999999999998,0.0252225653242622,0.0,0.08849357969766057,0.07449904441514688,-0.0979490392838054,-0.16514458231174217,0.06981748669522402,0.40139466530444,0.13750139900173805,0.4259809221737891,0.41232919196335654,-0.08992113622534723,0.45562663831142025,0.4227119463033929,0.44982525248336896,0.39596582484553783,0.5662535774663432,0.2729305899922181,0.26699668982085045,-0.2281846397528814,0.3102286285057715,-0.21741393145603563
PAYX,0.430297970678216,-0.20500812891915082,0.0,-0.06510897715172362,0.8016923206215391,0.597418384913085,0.6172736669188537,-0.2869985074939171,-0.3324225422194658,0.19838538712458853,-0.13178938826897102,0.6217693519282134,0.2494934414595677,0.7814988957910203,0.31535529580074295,0.707566986504517,0.7584804858708778,0.002426978471459561,-0.16487827479716283,0.6567689148791034,0.5491648859560547,-0.2737708722301088,-0.07543083462588673,-0.5147344020903302,0.05911656422695768,0.0729918807878844,0.3597935131657358,0.8860585744252506,0.7584587544926316,-0.3731535060348406,0.4114715527238315,0.20218168251336005,0.5386457330596056,0.4126798763668362,0.6337185731650382,0.11926559672920986,0.0252225653242622,1.0,0.0,0.06175723546274191,-0.0017000976248937195,0.6265695132646889,0.5502622175576326,0.6840536296368067,-0.18483414620014424,-0.6838883452127287,-0.3461193558916065,-0.15933055692954065,0.5875638240531749,0.10614445130044745,-0.3699493260977941,-0.3762370718646735,0.14356168892779567,-0.21390917304825083,0.7374888020296525,-0.445459436340262,0.5330516788657182,-0.39769441741907974,0.23450495489188491
PNR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSX,-0.38965522957347876,0.06270042793577363,0.0,0.40555740881301805,-0.19551885853782625,-0.3187477089287104,-0.2234880797166986,-0.10112099167812306,0.21464051355919375,-0.25472095201826783,0.1589516055087859,-0.2644388515398379,-0.04204311510091634,-0.06301568410567537,0.17921218542786285,-0.2608419513693288,-0.16242820550451215,-0.33333530929787564,0.08495851374541127,-0.4884265792981387,-0.4957086804420545,-0.010078279034883737,-0.04084649318336937,0.16607344363202414,-0.4630061218729041,-0.1275148397611178,-0.44911045272841454,0.06838365561652023,-0.10584653400690391,0.0340710695231039,-0.5662225921746258,0.1747615920225861,-0.49702333052956177,-0.1981205383820061,-0.534611482487317,-0.2230866780184768,0.08849357969766057,0.06175723546274191,0.0,0.9999999999999998,0.9428981017116552,-0.5408064675705211,-0.5063798396598356,-0.27193838999851927,-0.30441512988127534,0.05004577044234097,-0.09216330474493774,-0.4370590552029609,-0.39094711082563505,-0.00214060672381379,0.4481330034942504,0.19966458534668807,-0.08797510237545247,0.06915868398473793,-0.24724026123814716,-0.14309026200112446,-0.2745442401918802,-0.2627607324435788,-0.27561906901649097
NSC,-0.4394765754398686,0.07022518710484346,0.0,0.434097991405258,-0.28352267664728237,-0.4356020212061324,-0.28277261826346395,-0.10319668956274466,0.2465560492022461,-0.2466139905110525,0.23933261775882864,-0.35154450918049024,-0.06696328607645681,-0.11566248984927628,0.08181462329613673,-0.3375648829763219,-0.21809263589540717,-0.3237287226158221,0.21825496049538035,-0.5316878315030229,-0.5779142638165164,-0.0033977074823938365,-0.006121565883486049,0.2225348894391318,-0.5708826916307463,-0.15974795532710373,-0.4719380498751805,0.01924070078717474,-0.14653008264212486,0.06588515839050811,-0.6084703673038585,0.12494259159307636,-0.5916557147810644,-0.1270102349784631,-0.591140721774558,-0.24707815682526335,0.07449904441514688,-0.0017000976248937195,0.0,0.9428981017116552,1.0,-0.5835212212027241,-0.6036982712104526,-0.3131009053528057,-0.26974040452368414,0.06818107581139489,-0.048849847063499305,-0.45424729983091505,-0.42241202522020815,-0.007683289858462937,0.4009242241636559,0.19291391309967004,-0.09807114803958869,0.1376328489048804,-0.28244469577814146,-0.131007051415945,-0.3558615685086953,-0.2482549725950177,-0.3616314104614522
