tickers,VMC,FMC,NEM,PPG,APD,NUE,SHW,IFF,ECL,EMN,ALB,MLM,FCX,MOS,CF
VMC,1.0,-0.05605024417445788,0.09369827256315126,0.49235566222325383,0.26373744222530854,0.5950884567924323,0.3166250571865433,0.6576990342893477,0.37622686046333675,0.7920985865651737,-0.03864821979649745,0.9400033065907938,0.36970276672255525,0.38736296196739045,0.5793222075398369
FMC,-0.05605024417445788,0.9999999999999999,0.3451952871331673,-0.6735798480069934,0.7621407024066783,0.4162938094728472,-0.7882659070715228,-0.3188879086020831,-0.6994983951743701,-0.3106017915062675,0.6895702025732457,0.13318368963096974,0.398512411538244,-0.11329109224589541,-0.5424477965209396
NEM,0.09369827256315126,0.3451952871331673,1.0,-0.5636744525591291,0.5670414852087626,0.5048857567323298,-0.5661706631339497,-0.3311960005732304,-0.6268808478604866,-0.24051059657283194,0.061404776174179776,0.10912246340887184,0.8374440038425317,0.27916179765803895,-0.2192305700852673
PPG,0.49235566222325383,-0.6735798480069934,-0.5636744525591291,0.9999999999999999,-0.5402720083143022,-0.21148255520193154,0.9414546815399085,0.8182904593999688,0.8697232849559595,0.7831645623806429,-0.4518240967955116,0.33777932748796674,-0.3543380152854677,0.09377229462883672,0.7391385781785371
APD,0.26373744222530854,0.7621407024066783,0.5670414852087626,-0.5402720083143022,1.0,0.7751441201511428,-0.6610825810840246,-0.13904640284168293,-0.6582444922960152,0.0024266610415632503,0.5917886012552043,0.46205446970970115,0.6454505191133696,0.3585291068660842,-0.2003054221078311
NUE,0.5950884567924323,0.4162938094728472,0.5048857567323298,-0.21148255520193154,0.7751441201511428,0.9999999999999999,-0.3966827731782873,0.17995421739765083,-0.24545045836986473,0.34325564832088973,0.46785007899572273,0.7081139004401261,0.6750945749968347,0.4497315806645156,0.036620156152962116
SHW,0.3166250571865433,-0.7882659070715228,-0.5661706631339497,0.9414546815399085,-0.6610825810840246,-0.3966827731782873,1.0,0.7022601643747757,0.8287262010621856,0.6437166805828817,-0.5944723714558708,0.13924535019383677,-0.410979533033671,0.051649678937012514,0.7577084141026773
IFF,0.6576990342893477,-0.3188879086020831,-0.3311960005732304,0.8182904593999688,-0.13904640284168293,0.17995421739765083,0.7022601643747757,1.0,0.6737349849807885,0.8883277716540307,-0.16635947033264373,0.5443887941741028,-0.023836228092209952,0.10615045515176758,0.65412943770633
ECL,0.37622686046333675,-0.6994983951743701,-0.6268808478604866,0.8697232849559595,-0.6582444922960152,-0.24545045836986473,0.8287262010621856,0.6737349849807885,1.0,0.6137549468523956,-0.33304748587761457,0.20116148698857317,-0.4530135361930277,-0.0755505617198051,0.5497034940636274
EMN,0.7920985865651737,-0.3106017915062675,-0.24051059657283194,0.7831645623806429,0.0024266610415632503,0.34325564832088973,0.6437166805828817,0.8883277716540307,0.6137549468523956,1.0,-0.06703442585953148,0.7397163786195899,0.07296736640340487,0.3661291175086636,0.760764960182905
ALB,-0.03864821979649745,0.6895702025732457,0.061404776174179776,-0.4518240967955116,0.5917886012552043,0.46785007899572273,-0.5944723714558708,-0.16635947033264373,-0.33304748587761457,-0.06703442585953148,0.9999999999999999,0.15186341063785885,0.16236047098409584,-0.060199671163385524,-0.42134530350290267
MLM,0.9400033065907938,0.13318368963096974,0.10912246340887184,0.33777932748796674,0.46205446970970115,0.7081139004401261,0.13924535019383677,0.5443887941741028,0.20116148698857317,0.7397163786195899,0.15186341063785885,1.0,0.3920819547667258,0.49957435158931485,0.5034299486249343
FCX,0.36970276672255525,0.398512411538244,0.8374440038425317,-0.3543380152854677,0.6454505191133696,0.6750945749968347,-0.410979533033671,-0.023836228092209952,-0.4530135361930277,0.07296736640340487,0.16236047098409584,0.3920819547667258,1.0,0.34479971438529206,0.03366915474239021
MOS,0.38736296196739045,-0.11329109224589541,0.27916179765803895,0.09377229462883672,0.3585291068660842,0.4497315806645156,0.051649678937012514,0.10615045515176758,-0.0755505617198051,0.3661291175086636,-0.060199671163385524,0.49957435158931485,0.34479971438529206,0.9999999999999998,0.5811011838853617
CF,0.5793222075398369,-0.5424477965209396,-0.2192305700852673,0.7391385781785371,-0.2003054221078311,0.036620156152962116,0.7577084141026773,0.65412943770633,0.5497034940636274,0.760764960182905,-0.42134530350290267,0.5034299486249343,0.03366915474239021,0.5811011838853617,1.0
