tickers,VMC,FMC,NEM,PPG,APD,NUE,SHW,IFF,ECL,EMN,ALB,MLM,FCX,MOS,CF
VMC,0.9999999999999999,0.092056398770748,0.048902035274556215,0.3233323276202284,0.20395106977285668,0.4041746031557066,0.24973885820034755,0.4299218710198153,0.19693900680550214,0.5845644387655229,0.0012217667429549417,0.7648562206504057,0.33520900754759836,0.17304075291009202,0.3742144993469074
FMC,0.092056398770748,1.0,0.15351222777388004,-0.13954162393618422,0.6275682535040654,0.37885392806792934,-0.20936738088544476,0.03569533549253087,-0.3464698599968717,-0.008006688355206319,0.3909254622529268,0.23943798272048614,0.28653663717103256,0.09090616778720277,-0.1031633821714634
NEM,0.048902035274556215,0.15351222777388004,1.0,-0.37593817932620266,0.3123121202237148,0.2805635216364008,-0.3152633502284307,-0.19508665913843432,-0.44287597763534786,-0.09694066203847448,0.009839070112684537,0.06384928266241217,0.6123544950996864,0.14398482341372992,-0.12163878393277928
PPG,0.32333232762022845,-0.13954162393618422,-0.37593817932620266,1.0,-0.2602365580654059,-0.04887225150510744,0.8361235183134679,0.5896591549464199,0.661341444279745,0.5962651375114395,-0.335411933150936,0.23560984044735858,-0.15063408525795138,0.07640384907520602,0.5658600881078079
APD,0.2039510697728567,0.6275682535040654,0.3123121202237148,-0.2602365580654059,1.0,0.5641050836142896,-0.30774918016063285,-0.02906612251699722,-0.44640934184290865,0.03777649184764159,0.39607112038400794,0.33320474508489356,0.4471310820550067,0.2501687951707091,-0.0672109551928417
NUE,0.4041746031557065,0.37885392806792934,0.2805635216364008,-0.04887225150510744,0.5641050836142895,1.0,-0.14211992954499586,0.16163273718579108,-0.14773714664563947,0.25331683737127175,0.3202586148445963,0.5020180890898883,0.4706961004551193,0.27072579704197725,-0.0036657722414197083
SHW,0.2497388582003475,-0.20936738088544476,-0.3152633502284307,0.8361235183134678,-0.30774918016063285,-0.14211992954499586,1.0,0.4978060998810307,0.6303100869473879,0.5001125213282015,-0.4327547635976723,0.13836215465851248,-0.1684481370424967,0.04239794497402732,0.5705700892303935
IFF,0.4299218710198154,0.035695335492530865,-0.19508665913843434,0.5896591549464199,-0.02906612251699722,0.16163273718579108,0.49780609988103064,0.9999999999999999,0.4344792102132038,0.6907506573870751,-0.022637747827674293,0.3401655868634653,0.0580460509690422,0.0759522164331913,0.43836499239449006
ECL,0.1969390068055021,-0.3464698599968717,-0.4428759776353479,0.661341444279745,-0.4464093418429086,-0.14773714664563947,0.6303100869473879,0.4344792102132038,0.9999999999999999,0.397755592211066,-0.22689197254555368,0.07671409170663784,-0.3075315154664546,-0.05325015682191567,0.3814636990138618
EMN,0.5845644387655228,-0.008006688355206319,-0.09694066203847448,0.5962651375114395,0.03777649184764159,0.25331683737127175,0.5001125213282015,0.6907506573870751,0.397755592211066,1.0,-0.0436320375776167,0.49795852988395095,0.1736418166213675,0.24201794167039126,0.6046803329010281
ALB,0.001221766742954942,0.39092546225292685,0.009839070112684537,-0.335411933150936,0.3960711203840079,0.3202586148445963,-0.4327547635976723,-0.022637747827674293,-0.22689197254555368,-0.0436320375776167,0.9999999999999999,0.11988811827531574,0.06920170454068998,-0.012057877813504822,-0.28478205905066184
MLM,0.7648562206504057,0.2394379827204861,0.06384928266241216,0.23560984044735855,0.33320474508489356,0.5020180890898883,0.13836215465851248,0.3401655868634654,0.07671409170663783,0.497958529883951,0.11988811827531574,0.9999999999999999,0.31220359828488436,0.24276620571115826,0.26693880395472636
FCX,0.33520900754759836,0.28653663717103256,0.6123544950996864,-0.15063408525795138,0.44713108205500673,0.4706961004551193,-0.1684481370424967,0.0580460509690422,-0.30753151546645463,0.1736418166213675,0.06920170454068998,0.31220359828488436,1.0,0.22882868471726292,0.07532430385267334
MOS,0.17304075291009202,0.09090616778720276,0.14398482341372992,0.07640384907520603,0.2501687951707091,0.2707257970419772,0.04239794497402732,0.0759522164331913,-0.05325015682191566,0.24201794167039126,-0.012057877813504822,0.24276620571115828,0.22882868471726298,0.9999999999999999,0.37556256867466786
CF,0.37421449934690737,-0.10316338217146338,-0.12163878393277927,0.5658600881078079,-0.0672109551928417,-0.0036657722414197083,0.5705700892303935,0.43836499239449006,0.3814636990138618,0.6046803329010282,-0.28478205905066184,0.2669388039547263,0.07532430385267334,0.3755625686746678,1.0
