tickers,CERN,XRAY,LH,HCA,AMGN,CVS,BMY,ABT,CAH,PFE,JNJ,MRK,VAR,BAX,BDX,PKI,HUM,DHR,LLY,MDT,TMO,CI,COO,MYL,SYK,HOLX,REGN,IDXX,VRTX,BIIB,PRGO,GILD,BSX,PDCO,UHS,INCY,MCK,ABC,RMD,DVA,HSIC,WAT,ALXN,DGX,MTD,A,EW,ISRG,ILMN,ALGN,CNC,UNH
CERN,0.9999999999999999,0.17317035229539415,-0.09682606039167764,0.14899501558395928,0.1714570516670942,0.38196359494322896,0.21436512229958601,0.1666318313110912,0.14701106830669855,0.1655405653039417,0.06719634867280874,-0.00012868150761365297,0.03703763322955194,0.04762364141635161,-0.08595094892680127,0.1590492455077313,-0.14435674757004183,0.03410059951761804,0.20459881052129267,-0.08761800862874299,0.05270265935847929,0.10169000981587917,0.23871528382302168,0.002541010035458482,0.05248762459842738,-0.20985572519624496,0.17960011409582805,0.12923759946288266,0.3238282139016337,0.20838759196975257,0.12901877898744593,0.13626720666765976,0.09847329242481191,0.20557954804039358,0.1326108977859784,0.29153600611406666,0.45075721410715663,0.00553312675588471,0.2575489597067241,0.17922012048961358,0.35479306685532364,0.026427894544003204,0.13836337102272553,-0.061716688201063345,0.020445888468971524,-0.017110786173836545,0.19422969843898438,0.4470804105091937,-0.0027973377293189694,0.18007878449148154,-0.28660997358021373,0.30987955034115633
XRAY,0.17317035229539413,1.0,-0.0062731225520345265,0.06740019008524602,-0.006786312858514655,0.019762146281590735,-0.21721703836854914,-0.10493301940051249,0.1251106812409641,0.03228402256306356,-0.02088428378891027,-0.11006517018079576,0.48051726821564894,0.26574666159589533,0.3768563671669726,0.35918144753778564,0.075712024724206,0.426872636631016,-0.056397390558203475,0.0529643638405826,0.2973268870365797,0.3601705307774131,0.23250358129953763,0.18765686580469076,0.38258968338087157,0.2583168421178319,0.1200476273834356,-0.04328879966999392,-0.1998778355121213,-0.03965459880616828,-0.16489775367585136,0.06293415665400039,0.3820584751460051,-0.053338055818731515,0.35089189933194054,-0.12091960869565936,0.14786582420775732,0.06610134037896945,0.14717710602850237,0.0677601070059492,0.18320734837864938,0.5491534027787142,-0.11593692973862715,0.015386844374962749,0.5954109062915237,0.40489712753461343,-0.24884636123139062,0.3177207345276393,0.4297983778690566,-0.10294189441111229,0.3342608103558122,0.11371571191532132
LH,-0.09682606039167764,-0.0062731225520345265,0.9999999999999999,0.004470172062631198,-0.14991641326151517,0.058620086757628295,0.1036419960667668,0.030355161859835982,0.12866686757665954,-0.11882241159717331,-0.009103191323314924,0.021940197048127833,-0.06635909286961388,0.00189722811854473,0.2822356384295488,-0.07214306525254627,0.24582443027183515,0.25523977035168066,-0.13278662191801596,0.07790411780426414,-0.009292903328005194,-0.04251555755110444,-0.1334555074948637,-0.033065295144953405,0.350003313999078,0.35471473697690964,-0.19155845353446202,0.10827667537089272,-0.005690220774405754,-0.025783222579410913,0.15628215416346242,-0.13202392493137027,0.22791932589107827,0.063163664548958,0.1802659294345768,0.060983259884407594,-0.18549242943035785,0.07875054824654518,-0.13959545936907095,-0.039830265342893495,0.017590121233559505,0.17830791136379778,0.12441130247628898,0.492382045282936,0.06622410416050524,0.2725825429008736,0.04018323784321921,-0.018001512071120832,0.07720009066775685,0.1827799662588538,0.06809961005641604,0.16854565536512967
HCA,0.14899501558395928,0.06740019008524602,0.004470172062631198,1.0,0.6319529555304593,0.5406136387354246,-0.05678144115896005,0.5250751725571285,-0.2691299526092883,0.6103675336084772,0.5305603943303683,0.5645299123686065,-0.024114593444353877,0.49077051939223526,0.22505670501111155,0.5164527689181574,-0.4869218708283935,0.2626558502637091,0.60679252564886,0.530245283730767,0.5235553312116797,0.34960199409521564,0.511960667052226,0.5265375775769605,0.2433381091281513,0.1542001407959692,0.59875913413939,0.6286109638494909,0.16290510277985729,0.6117639842536883,0.35827279488557146,0.6633768984142987,-0.23497516614720737,0.4569765132221312,0.47915360553045167,-0.09640220761363762,0.4159297804025469,0.40458766185770645,0.6021868480055337,0.6342710647218426,0.5543978142999944,0.025079177182128033,0.45652561431712474,0.30815277367790095,0.15817648045353902,-0.3065343624178872,0.39960781867066963,0.07901886202182754,0.2280137667440634,0.265890563802517,-0.0992942030401682,0.04123844053281019
AMGN,0.1714570516670942,-0.006786312858514654,-0.14991641326151517,0.6319529555304592,1.0,0.5459898176332858,-0.0210455319060092,0.5929498091437496,-0.17934660669983726,0.7555250426039454,0.6659914050972443,0.6403680721695956,-0.11738802013698453,0.49236458077235323,0.15571887895620257,0.4930542587862643,-0.6138763440788967,0.18641754627297719,0.7726513087943254,0.49838411669609745,0.5062367454327819,0.31467937098103393,0.4875124554016264,0.5032961888961148,0.09777682235585611,0.04246354229877794,0.6969950242392702,0.5887022907605286,0.1985986569204603,0.693997590199898,0.3501333933335476,0.7786919556551518,-0.3215080140644355,0.46115505917097166,0.29152401156557806,-0.04598440822407305,0.4632570421439347,0.4370186509684566,0.7171746580794808,0.659799450261182,0.5606674524699898,-0.10993073079640939,0.4711781074878919,0.19932771161096025,0.058688350905381347,-0.43590530395588895,0.46775619380287237,0.03056354581945956,0.14449659318832744,0.29982800571080853,-0.13456129397165842,-0.06605245681338134
CVS,0.38196359494322896,0.019762146281590735,0.058620086757628295,0.5406136387354247,0.5459898176332858,1.0,0.12401379375457008,0.5959206888119608,-0.1300512016483811,0.5602536664130944,0.45689919738122875,0.43094402981806507,-0.07157104211060229,0.39060570129969036,0.15180870519898096,0.47175429792082113,-0.4420034560187803,0.27419614534469305,0.584179337274156,0.3826350130024289,0.41983695749258404,0.30139325008692114,0.4892485640510355,0.39807560742005027,0.2106347760110809,0.06451405238856354,0.519289406264947,0.589964794631639,0.3898941401313618,0.6051143649223109,0.44312217083281163,0.49394566464864703,-0.1134187165890376,0.4839275684643006,0.4220635705082391,0.03169750736319594,0.45069253370619694,0.2871902180220994,0.6017728335426343,0.5675508076130586,0.6147065738700583,0.027888581352760535,0.5126565614738609,0.3268624069339779,0.06326591733603641,-0.24105420220897997,0.4675480857680145,0.15974662698013767,0.11645303155006659,0.34556982893973115,-0.27636240680855684,0.16772865330266273
BMY,0.21436512229958601,-0.21721703836854914,0.1036419960667668,-0.05678144115896005,-0.021045531906009204,0.1240137937545701,1.0,0.12909565078041682,0.20986342140450784,0.085921781008091,0.004668459845687105,0.09341191347904869,-0.20991163756843315,-0.22697510995550865,-0.1737338938683826,-0.2105433147909938,0.13956565570048973,-0.0800167545658173,0.1169105409803531,-0.14870741623464495,-0.25432496442743063,-0.10394003511473006,-0.04563083217541444,-0.21978982455549975,-0.08980367666010496,-0.13320451576489634,-0.08153290904146991,0.06805681047126347,0.17523944862922003,0.08877954614194605,0.3315153970882367,-0.10379840748531252,-0.07357523917451755,0.0822235501214997,-0.09839077647363106,0.32138955971619837,0.1887522152429164,-0.043178677943747745,-0.07473811020715296,-0.0060492026402372764,0.027230164184001468,-0.23089314725640162,0.20216888785516163,0.10161358280600752,-0.3467728958165012,-0.15700355203548033,0.17944606940470978,0.19726528563756865,-0.3385632232490163,0.2568799599830901,-0.32700433592446504,0.388815645348735
ABT,0.16663183131109116,-0.10493301940051247,0.030355161859835986,0.5250751725571284,0.5929498091437496,0.5959206888119608,0.12909565078041682,0.9999999999999999,-0.2906932857677549,0.6945290228547373,0.4659451205767358,0.6181239769884667,-0.27323581770788674,0.3428994035717048,0.08919554098159607,0.38382247639109335,-0.5489471217039846,0.27533297522999145,0.6867010800333735,0.3808497795537457,0.33620038267395264,0.1663558027655645,0.43879700417496414,0.3375842398159244,0.07884026842476878,0.08420207663580956,0.5838088316053716,0.6413669111500048,0.4450373833438383,0.7545247241542661,0.5816334822722141,0.5463926065206534,-0.2985382779904492,0.6521341852026665,0.20292604501607714,0.112922942114393,0.3834418467494904,0.22044586480558206,0.6020869180758146,0.5620329058831289,0.5358457809664268,-0.19569201345898415,0.7396489893550828,0.42018736063435874,-0.0820046317460479,-0.3999935778206807,0.5972869837536547,0.020282868293109352,-0.02803633157517656,0.5660953731342327,-0.36237662130433906,0.05438873213625404
CAH,0.14701106830669855,0.12511068124096408,0.12866686757665957,-0.2691299526092883,-0.17934660669983726,-0.1300512016483811,0.20986342140450787,-0.2906932857677549,0.9999999999999999,-0.22636892676041304,-0.13688092228272203,-0.2018995643278232,0.08475180380044718,-0.23035713422205786,0.010366031534055603,-0.2712246791237905,0.3282925794138051,-0.10209273137992783,-0.21093969258565837,-0.2560116269386019,-0.2566092101094291,-0.1635983673719205,-0.26383964387130704,-0.2934445428664604,0.029050387318719048,-0.0540671099162496,-0.3087170446801946,-0.2206815696426894,-0.16061010245806062,-0.27499130714915676,-0.17760912611824572,-0.24321601269094117,0.32933283180671413,-0.19141159911859987,-0.08843409158527514,0.17758967765652842,0.05534731141890578,-0.017868067628513108,-0.24748579581403501,-0.23395815907699608,-0.1486845743382109,0.11251976381555194,-0.26294977446136325,-0.09528870119979663,0.018370772203283786,0.2961664055342948,-0.1985330860005882,0.16892946601561826,0.012807110432979359,-0.14401575156442142,0.07088846925975804,0.10857880267369599
PFE,0.16554056530394168,0.03228402256306356,-0.1188224115971733,0.6103675336084771,0.7555250426039454,0.5602536664130944,0.085921781008091,0.6945290228547372,-0.22636892676041304,1.0,0.6369283465602024,0.6823207603563393,-0.08125716056052132,0.49435354643234114,0.1436088936449267,0.5103623927932647,-0.5397843049111432,0.2816769965977132,0.8224146655859068,0.4943921705038359,0.49060558680440935,0.3818518636209416,0.5443434568460835,0.487014475063941,0.1116656491199768,0.10063905489577105,0.7063461743179864,0.5903149451901054,0.22409863412794243,0.705309274367014,0.4544344648897661,0.7022935529453682,-0.31228814938164723,0.4738417961595055,0.31427060245726934,-0.06713116060604704,0.4689551964553868,0.41186411318559873,0.7316925161471212,0.6737538725992311,0.5646397241047372,-0.0790053785972448,0.5497034757186667,0.28289950350002563,0.052300634963051616,-0.41139844166231404,0.42849118577517437,0.0809224726060155,0.11922535213443532,0.3449108508318785,-0.21380435875488957,0.02883578861941394
